epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5914.85,1.23163,0.55863,0.95345,0.87953,0.82183,0.86868,0.50649,1.43402,0.63353,1.09231,0.0014588,0.0014588,0.0014588
43,6097.1,1.23983,0.5581,0.95445,0.88096,0.82591,0.86781,0.50728,1.43548,0.63173,1.09146,0.0014456,0.0014456,0.0014456
44,6143,1.22988,0.55354,0.95044,0.88193,0.82011,0.87168,0.50897,1.42932,0.63553,1.0841,0.0014324,0.0014324,0.0014324
45,6223.66,1.22688,0.54896,0.94934,0.88279,0.82914,0.8705,0.50547,1.43655,0.62771,1.09431,0.0014192,0.0014192,0.0014192
46,6340.35,1.22354,0.54758,0.9501,0.88133,0.82314,0.86559,0.50309,1.43836,0.62874,1.09269,0.001406,0.001406,0.001406
47,6402.58,1.21301,0.54426,0.94632,0.88248,0.82581,0.8692,0.509,1.43371,0.63095,1.08575,0.0013928,0.0013928,0.0013928
48,6508.12,1.21024,0.54225,0.94578,0.88143,0.8183,0.86971,0.50147,1.45139,0.63352,1.0953,0.0013796,0.0013796,0.0013796
49,6587.75,1.20255,0.53716,0.94283,0.88483,0.81757,0.87096,0.50557,1.4475,0.63693,1.09039,0.0013664,0.0013664,0.0013664
50,6661.91,1.21195,0.54289,0.94516,0.88463,0.82387,0.87017,0.50871,1.43811,0.62989,1.08915,0.0013532,0.0013532,0.0013532
51,6781,1.20782,0.53939,0.94311,0.88217,0.8184,0.86979,0.50557,1.44498,0.6396,1.09577,0.00134,0.00134,0.00134
52,6842.05,1.20738,0.53811,0.94392,0.88155,0.82433,0.87282,0.50651,1.44491,0.62458,1.09176,0.0013268,0.0013268,0.0013268
53,6955.89,1.19608,0.53572,0.93907,0.88001,0.8213,0.86577,0.50296,1.45076,0.62557,1.09565,0.0013136,0.0013136,0.0013136
54,7073.96,1.19046,0.53143,0.9357,0.88258,0.81375,0.86565,0.50215,1.44109,0.63299,1.09636,0.0013004,0.0013004,0.0013004
55,7132.08,1.17433,0.52176,0.93358,0.88031,0.82006,0.86797,0.5049,1.44839,0.62364,1.09353,0.0012872,0.0012872,0.0012872
